The answer to|A maiden's|Prayer|Is not a chin|Of stubby hair|Burma-Shave|1933|x
Shaving brush|Don't you cry|You'll be a|Shoe dauber|By and by|Burma-Shave|1933|x
Within this vale|Of toil|And sin|Your head grows bald|But not your chin -- use|Burma-Shave|1933|x
Free offer! Free offer!|Rip a fender|Off your car|Mail it in for|A half-pound jar|Burma-Shave|1933|x
Everything|In it|Is fine|For the|Skin|Burma-Shave|1933|x
He played|A sax|Had no B.O.|But his whiskers scratched|So she let him go|Burma-Shave|1933|x
Bridge prize|For men|Just half a buck|Try it, hostess|Change your luck|Burma-Shave|1933|x
Thrifty shavers|Now are found|Buying shaves|By the pound|One lb. jar 85 cents|Burma-Shave|1933|x
Ruddy cheeks|And face|Of tan|Neatly shaven|What a man!|Burma-Shave|1933|x
If your hubby|Trumps your ace|Here's something|That will|Save his face|Burma-Shave|1933|x
Mug and brush|Old Adam|Had 'em|Is your husband|Like Adam, Madam?|Burma-Shave|1933|x
25 prizes|Every week|Thruout the football season|You'll find you'd rather|Use no lather|B'golly there's a reason|Burma-Shave|1933|x
To shaving brush|I need|Not cling|I will not hush|Of thee I sing|Burma-Shave|1933|x
Prize contest details|May be obtained|At football broadcast|Every Saturday|Over WCCO|Burma-Shave|1933|x
Hit 'em high|Hit 'em low|Follow your team|Over WCCO|And win a prize|Burma-Shave|1933|x
Hit 'em high|Hit 'em low|It's action rooters crave|Millions boast -- millions toast|The All-American shave|Burma-Shave|1933|x
There's football in the air|And prizes for all to share|Accept our invitation|WCCO's the station|(Many prizes|Get your share)|1933|x
He had the ring|He had the flat|But she felt his chin|And that|Was that|Burma-Shave|1934|x
Your beauty, boys|Is just|Skin deep|What skin you've got|You ought to keep|Burma-Shave|1934|x
The answer to|A shaver's dream|A greaseless|No brush|Shaving cream|Burma-Shave|1934|x
When cutting|Whiskers|You don't need|To leave one half|Of them for seed|Burma-Shave|1934|x
Every day|We do|Our part|To make your face|A work of art|Burma-Shave|1934|x
The bearded lady|Tried a jar|She's now|A famous|Movie star|Burma-Shave|1934|x
Jonah took|No brush|To mop his face|Where Jonah went|He needed space|Burma-Shave|1934|x
The game laws|Ought to|Let you shoot|The bird who hands you|A substitute|Burma-Shave|1934|x
Bachelor's quarters|Dog on the rug|Whiskers to blame|No one|To hug|Burma-Shave|1934|x
Bristly beard|Or silky fuzz|Just shave 'em back|To where|They was|Burma-Shave|1934|x
Tho living costs|Are upward bound|Four bits|Still buys|Half a pound|Burma-Shave|1934|x
Pity all|The mighty Caesars|They pulled|Each whisker out|With tweezers|Burma-Shave|1934|x
Lather was used|By Daniel Boone|He lived|A 100 years|Too soon|Burma-Shave|1934|x
Beneath this stone|Lies Elmer Gush|Tickled to death|By his shaving brush|Burma-Shave|1934|x
College boys!|Your courage muster|Shave off|That fuzzy|Cookie duster|Burma-Shave|1934|x
Every second|Without fail|Some store|Rings up|Another sale|Burma-Shave|1934|x
That "pink toothbrush"|Is a curse|But that pink razor's|A darn sight worse|Use|Burma-Shave|1934|x
Noah had whiskers|In the ark|But he wouldn't get by|On a bench|In the park|Burma-Shave|1934|x
