\\ec\\c\\2Befehl    |LV|Anzeigetext fuer ?  |Azeigetext fuer H                 Gateway-5
\\3        FL|00|Flash an/aus        |Flash-Signal an-/ausschalten               
\\3   FORTUNE|00|Sprueche ausgeben   |Per Zufall einen Spruch aus einer Datei aus
\\3  FORTUNE2|00|Sprueche ausgeben   |Per Zufall einen Spruch aus einer Datei aus
§%§L=>98§%§COSYS\\3   FREEMSG|98|MSG-Status aufheben |MSG-Status beim User löschen          [user
§%§L=>20\\3      GAME|20|Trading-Game II     |Tradimg-Game II starten                    
§%§L=>20\\3    GETMSG|20|MSGs umsortieren    |Eine bestimmte MSG zuerst lesen            
§%§L=>90§%§COSYS\\3GOTCHAPROT|90|Anzeige Gotchaprot. |Anzeige des Gotcha-Protokolles             
§%§L=>80§%§COSYS\\3GRUPPENTEX|80|Gruppentexte bearb. |Gruppentexte/Flagtexte bearb.!!!!NICHT SPIE
\\3         H|00|Hilfe zu Befehlen   |Hilfe (Langform) ausgeben               [be
§%§L=>89§%§GR_3\\3  HACKLAST|89|Anzeige Hackprot(25)|Anzeige der letzten 25 Hacks               
§%§L=>90§%§COSYS\\3  HACKPROT|90|Anzeige Hackprot.   |Anzeige des Hack-Protokolles               
§%§L=>20\\3   HANGMAN|20|Hangman             |Online-Spiel Hangman (allgemeine Worte) sta
\\3    HILFE?|00|Hilfe-Liste / Befehl|Hilfe (Langform) ausgeben aber einzeilig   
§%§L=>20\\3       HIS|20|History anzeigen    |Die letzten verwendeten Befehle anzeigen   
§%§L=>80§%§GR_3\\3   HISTORY|80|History sehen       |Übersicht über dei History des Systems     
§%§L=>99§%§SYSOP\\3      HOME|99|GAME-Befehl: n,24   |Stellt den User auf die Koordinaten n,24   
\\3         I|00|Inhalt anzeigen     |Inhalt anzeigen                      [param
§%§L=>20\\3       INF|20|Inhalt mit Info's   |Inhalt mit Filenamen und Fileinfo's  [param
§%§L=>20\\3   INFOALL|20|LogIn-Info-Wall(all)|LogIn-Wall aufrufen und ALLE News anzeigen 
§%§L=>80\\3  INFOEDIT|80|LogIn-Info-Text edit|LogIn-Wall-Text eingeben                   
§%§L=>20\\3  INFOWALL|20|LogIn-Info-Wall     |LogIn-Wall aufrufen und News anzeigen      
