\\ec\\c\\2Befehl    |LV|Anzeigetext fuer ?  |Azeigetext fuer H                 Gateway-5
§%§L=>98§%§COSYS\\3 TRADEINFO|98|Trading-Game II Info|Tradimg-Game II / Sysop-Informationen      
§%§L=>90§%§SYSOP\\3 TRANSPROT|90|Transferprotokolle  |Anzeige der Transferergebnisse, Send und Re
§%§L=>02\\3         U|02|Userliste anzeigen  |Userliste anzeigen / User suchen      [user
\\3        UM|00|Umlaute einstellen  |Umlaute (ae, oe, ue usw.) einstellen       
§%§L=>70§%§AV\\3    UMLEIT|70|Eintrag umleiten    |Bretteintraege umleiten              [param
§%§L=>20§%§BV\\3     UNDEL|20|Undelete-Kommando   |Zurueckholen von Eintraegen          [param
§%§L=>98§%§SYSOP\\3 UNLIMITED|98|Onlinezeiten an/aus |Unlimitierte Onlinezeiten an-/ausschalten! 
§%§L=>20\\3        UP|20|Upload              |Upload in Brett / Postfach            [user
§%§L=>20\\3    USERED|20|User-Editor         |Online-Editor fuer die User-Daten     [user
§%§L=>20\\3  USERINFO|20|Status und Info User|Anzeige Userstatus, Levelinfo u.v.m.  [user
§%§L=>20\\3USERLOESCH|20|Userlöschungen      |Wer wird demnächst gelöscht (14 Tage)      
§%§L=>80§%§GR_3\\3USERL_FLAG|80|Userliste mit Flags |Userliste / User suchen / alle Flags  [user
§%§SYSOP\\3        UT|00|User Kneipen        |Info ueber Userkneipen der Gateway!        
\\3         V|00|Version             |Aktuelle Programmversion anzeigen          
§%§L=>20\\3        VK|20|Visitenkarte        |Visitenkarten anlegen / anzeigen      [user
§%§L=>20\\3      VOLL|20|Volltext Suche+Hilfe|Volltext-Suchfunktionen Onlinehilfe/Informa
\\3        VT|00|Ansi an/aus         |Ansi an-/ausschalten                       
§%§L=>50\\3      WALL|50|Logoff-Wall         |Logoff-Wall aufrufen (nur Batch)           
§%§L=>90§%§SYSOP\\3       WAN|90|Werbung anstellen   |Werbung Anstellen                          
§%§L=>80\\3   WARNUNG|80|User verwaren       |Einem anderen User verwarnen               
§%§L=>98\\3     WART1|98|Wartezeit (Batch)   |Batchbefehl, stoppt für festgelegte Zeit  [
§%§L=>98\\3     WART2|98|Wartezeit (Batch)   |Batchbefehl, stoppt für festgelegte Zeit  [
§%§L=>98\\3     WART3|98|Wartezeit (Batch)   |Batchbefehl, stoppt für festgelegte Zeit  [
§%§L=>98\\3     WART4|98|Wartezeit (Batch)   |Batchbefehl, stoppt für festgelegte Zeit  [
§%§L=>90§%§SYSOP\\3      WAUS|90|Werbung ausstellen  |Werbung Ausstellen                         
§%§L=>90§%§COSYS\\3   WERBUNG|90|Werbung An/Abstellen|Werbung AN/ABstellen                       
§%§L=>80§%§GR_3\\3 WRITE_HIS|80|Eintrag in History  |Eintrag in die User-Historie für Crew      
\\3      XPOR|00|Portliste (schnell) |Auto-Portliste ohne Rufnummern             
\\3      YPOR|00|Portliste (klein)   |Auto-Portliste ohne Aktivitäten            
\\3         Z|00|Zeilenzaehler       |Zeilenzaehler neu einstellen            [ze
\\3        ZE|00|Zeit einstellen     |Uhrzeit fuer Scanner neu einstellen      [m
\\3       ZEI|00|Zeit und Datum anz. |Uhrzeit, Datum, Scannerzeit usw. anzeigen  
\\3      ZEIL|00|Zeilenzaehler       |Zeilenzaehler neu einstellen               
\\3      ZEIT|00|Zeit und Datum anz. |Uhrzeit, Datum, Scannerzeit usw. anzeigen  
\\3      ZPOR|00|Portliste klein     |Kleine Portliste auflisten                 
§%§L=>20\\3    ZUSATZ|20|Zusatzpseudo's      |Zusatzpseudo-Verwaltung (Menü-Direktaufruf)
